GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Microservice-Parents,com.domain.main.service,ParentsServiceImpl,0,43,0,0,0,10,0,8,0,8
Microservice-Parents,com.domain.main.controller,ParentsController,0,41,0,0,0,10,0,8,0,8
Microservice-Parents,com.domain.main.model,Parents,0,86,0,0,0,4,0,18,0,18
Microservice-Parents,com.domain.main,MicroserviceParentsApplication,5,3,0,0,2,1,1,1,1,1
